Rejection_Rate,Date,Season_Year,County,#loads,Tomato_variety,Average_worm/insect_damage,Average_mold,Average_green,Average_material_other_than_tomatoes,Average_hue_loads,Average_hue,Average_color,Average_solids,Average_pH
0.0004522840343735,2016-08-20,2016,  SOLANO,2.0,"905-9905, HEINZ",0.0,0.3,1.0,0.3,121.5968847352025,19.085844195210672,25.5,5.25,4.38
7.176175098672408e-05,2015-08-22,2015,  FRESNO,3.0,"230-323, BQ",0.0,0.8,0.7,0.3,121.5968847352025,19.085844195210672,25.0,5.6,4.4
0.0097385955920041,2016-08-06,2016,  MERCED,119.0,"111-0311, AB",0.0,0.3,0.8,0.3,121.5968847352025,19.085844195210672,23.8,5.88,4.29
0.0018484288354898,2009-09-05,2009,  SOLANO,249.0,255  CAMPBELLS CXD 255,0.0,1.2,0.6,0.4,121.5968847352025,19.085844195210672,24.6,5.22,4.43
0.0,2016-09-03,2016,  CONTRA COSTA,23.0,"111-0311, AB",0.0,1.5,3.1,0.2,121.5968847352025,19.085844195210672,23.5,6.7,4.32
0.0,2011-08-06,2011,  KERN,823.0,187  CAMPBELL CXD 187,0.0,0.8,3.8,0.8,121.5968847352025,19.085844195210672,26.3,4.62,4.53
0.0,2013-10-26,2013,  STANISLAUS,39.0,"892-1892, HMX",0.0,1.8,1.4,0.4,121.5968847352025,19.085844195210672,24.3,5.19,4.33
0.0,2020-08-29,2020,FRESNO,3.0,"393-393, BQ",0.0,5.2,2.2,0.3,3.0,22.2,0.0,5.1,4.58
0.0,2017-08-19,2017,KINGS,1.0,"641-6416, N",0.0,2.5,0.5,0.5,121.5968847352025,19.085844195210672,26.0,5.4,4.54
0.0080209779423106,2011-10-15,2011,  SAN JOAQUIN,75.0,502  WOOD BRIDGE BQ 205,0.0,0.5,3.8,5.5,121.5968847352025,19.085844195210672,24.1,6.68,4.27
0.000283326250177,2014-07-19,2014,  KINGS,42.0,0-UNCODED,0.0,0.1,3.8,0.1,121.5968847352025,19.085844195210672,26.6,5.94,4.36
0.0010984182776801,2015-10-03,2015,  MERCED,17.0,"888-3888, HMX",0.0,1.3,1.3,0.6,121.5968847352025,19.085844195210672,30.0,5.15,4.35
0.0064724919093851,2009-10-10,2009,  SAN JOAQUIN,41.0,194  UNITED GENETICS UG 19406,0.0,0.8,0.7,1.1,121.5968847352025,19.085844195210672,25.0,5.45,4.26
0.0001767096660187,2009-07-18,2009,  KERN,107.0,382  HEINZ 9382,0.0,0.5,1.0,0.4,121.5968847352025,19.085844195210672,24.3,5.04,4.45
0.0,2009-10-17,2009,  SAN BENITO,18.0,366  SUN 6366,0.0,0.7,4.2,3.4,121.5968847352025,19.085844195210672,28.3,5.07,4.36
0.0,2014-10-18,2014,  SAN JOAQUIN,1.0,"42-6402, N",0.0,2.0,1.0,0.0,121.5968847352025,19.085844195210672,25.0,4.8,4.35
0.0,2019-10-05,2019,YOLO,607.0,"831-1310, HZ",0.0,1.9,3.9,1.6,607.0,20.2,0.0,5.24,4.49
0.0003658648129516,2011-08-13,2011,  FRESNO,1.0,206  WOOD BRIDGE BQ 206Cur Wk,0.0,0.5,2.0,0.5,121.5968847352025,19.085844195210672,27.0,5.3,4.43
0.0029741077676696,2017-09-02,2017,YOLO,2.0,"641-6416, N",0.0,2.8,3.8,0.5,2.0,22.1,0.0,5.25,4.47
0.0018782870022539,2013-07-27,2013,  COLUSA,5.0,577-HEINZ TRIAL,0.0,0.5,0.6,0.2,121.5968847352025,19.085844195210672,25.8,4.94,4.46
0.0039708802117802,2011-09-17,2011,  FRESNO,262.0,111  DE RUITER DRI 0311Cur Wk,0.0,7.6,2.2,0.9,121.5968847352025,19.085844195210672,22.8,5.37,4.46
0.0020795916438226,2010-08-14,2010,  FRESNO,237.0,560  HZ 5608Cur Wk,0.0,0.5,1.1,0.5,121.5968847352025,19.085844195210672,22.4,5.32,4.42
0.0,2014-09-06,2014,  SANTA CLARA,4.0,"885-7885, HMX",0.0,2.6,0.9,0.1,121.5968847352025,19.085844195210672,23.3,5.0,4.47
0.000655737704918,2018-09-01,2018,SOLANO,1.0,"311-1311, HZ",0.0,0.5,0.0,2.0,1.0,21.5,0.0,5.6,4.35
0.0,2012-09-15,2012,  SACRAMENTO,3.0,565-MIX,0.0,1.0,0.0,0.3,121.5968847352025,19.085844195210672,22.7,5.33,4.32
0.0006097560975609,2013-09-21,2013,  SAN JOAQUIN,20.0,"285-1285, HZ",0.0,0.3,1.1,0.5,121.5968847352025,19.085844195210672,24.6,6.04,4.37
0.0051742504945974,2019-09-14,2019,YOLO,404.0,"811-58811, HM",0.0,1.8,1.6,1.1,404.0,21.8,0.0,4.79,4.41
0.0,2013-08-03,2013,  SUTTER,16.0,"460-4606, AB",0.0,2.5,1.5,0.4,121.5968847352025,19.085844195210672,25.3,5.69,4.41
0.0008077544426494,2018-08-18,2018,FRESNO,11.0,"644-6441, N",0.0,0.2,0.4,0.0,11.0,21.5,0.0,4.8,4.49
0.0,2012-09-15,2012,  KINGS,673.0,"558-5508, HZ",0.0,0.3,1.4,0.4,121.5968847352025,19.085844195210672,21.7,5.34,4.32
0.0002222716159146,2011-09-03,2011,  KINGS,825.0,241  HEINZ 2401Cur Wk,0.0,1.0,1.4,0.4,121.5968847352025,19.085844195210672,23.3,5.33,4.39
0.0064935064935064,2011-09-17,2011,  SUTTER,331.0,978  HEINZ 9780,0.0,1.5,1.1,1.1,121.5968847352025,19.085844195210672,22.8,5.51,4.43
0.000645518258945,2017-08-05,2017,FRESNO,502.0,"366-6366, SUN",0.0,0.2,0.6,0.2,121.5968847352025,19.085844195210672,28.0,5.55,4.4
0.0011166945840312,2014-09-20,2014,  MERCED,130.0,"907-1170, HEINZ",0.0,2.5,0.7,0.4,121.5968847352025,19.085844195210672,22.3,5.15,4.53
